1.4256	0.8170	0.0435	0.042
2.7712	0.8190	0.0425	0.042
4.0412	0.8170	0.0425	0.042
5.2400	0.8150	0.04375	0.042
6.3715	0.8140	0.04575	0.042
7.4395	0.8130	0.0445	0.042
8.4475	0.8140	0.043	0.042
9.3990	0.8140	0.0425	0.042
10.2971	0.8130	0.0405	0.042
11.1447	0.8110	0.0415	0.042
11.9448	0.8110	0.041	0.042
12.7000	0.8110	0.0415	0.042
13.4128	0.8110	0.04	0.042
14.0856	0.8090	0.04225	0.042
14.7206	0.8100	0.04	0.042
15.3200	0.8090	0.04125	0.042
15.8858	0.8090	0.041	0.042
16.4197	0.8090	0.0405	0.042
16.9238	0.8090	0.041	0.042
17.3995	0.8090	0.0425	0.042
17.8485	0.8110	0.0405	0.042
18.2724	0.8140	0.03975	0.042
